Timestamp,Data
2025-07-09 11:33:57,10132C101F007E
2025-07-09 11:33:58,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:33:58,"47(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:00,10132C101F007E
2025-07-09 11:34:01,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:01,"48(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:03,10132C101F007E
2025-07-09 11:34:04,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:04,"49(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:06,10132C101F007E
2025-07-09 11:34:07,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:07,"50(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:09,10132C101F007E
2025-07-09 11:34:10,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:10,"51(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:12,10132C101F007E
2025-07-09 11:34:13,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:13,"52(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:15,10132C101F007E
2025-07-09 11:34:16,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:16,"53(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:18,10132C101F007E
2025-07-09 11:34:19,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:19,"54(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:21,10132C101F007E
2025-07-09 11:34:22,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:22,"55(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:24,10132C101F007E
2025-07-09 11:34:25,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:25,"56(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:27,10132C101F007E
2025-07-09 11:34:28,"Gas1 =  .00,00, Status: 00,00 (-12.49)"
2025-07-09 11:34:28,"57(00):z[00]-{Mean=00,SumV2=00,Stdev=00}"
2025-07-09 11:34:30,10132C101F007E
